...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
1698,1077,1033,1037,1699,POINT (35.3263062632387 -15.382110526954133),155,845678,-15.38217019,35.3263332,195.3781,0.7953,5GPQJ89G+4GP4,1
1898,1135,1047,1077,1899,POINT (35.326307266548554 -15.382200861232866),155,845678,-15.38217019,35.3263332,195.3781,0.7953,5GPQJ89G+4GP4,1
1713,1332,1412,1561,1714,POINT (35.32770286881611 -15.38209592117194),286,1564262,-15.38213115,35.32768953,200.6807,0.8285,5GPQJ89H+43WJ,1
1913,1301,1256,1459,1914,POINT (35.327703872726985 -15.382186255360793),286,1564262,-15.38213115,35.32768953,200.6807,0.8285,5GPQJ89H+43WJ,1
1748,1041,996,1010,1749,POINT (35.31234112305297 -15.382346438816386),1448,7941530,-15.38235466,35.3123795,70.1055,0.7937,5GPQJ896+3X2R,1
1753,1192,1118,1037,1754,POINT (35.31280666355794 -15.382341600324429),1635,8826418,-15.38233524,35.31279188,134.5624,0.8345,5GPQJ897+347F,1
1756,1245,1154,1183,1757,POINT (35.31308598778202 -15.382338696762682),1470,8036311,-15.38234054,35.31316425,188.369,0.8063,5GPQJ897+3777,1
1757,1327,1226,1195,1758,POINT (35.31317909584355 -15.382337728831002),1470,8036311,-15.38234054,35.31316425,188.369,0.8063,5GPQJ897+3777,1
1758,1387,1289,1265,1759,POINT (35.313272203898514 -15.382336760860444),1412,7751720,-15.38235923,35.31325611,26.904,0.6409,5GPQJ897+382J,1
1762,1351,1350,1392,1763,POINT (35.313644636052565 -15.3823328885894),442,2358749,-15.38230079,35.31362934,59.9826,0.6104,5GPQJ897+3FCR,1
1864,1083,953,1205,1865,POINT (35.3231416203687 -15.382233935489776),745,4092894,-15.38227214,35.32318071,307.4213,0.8014,5GPQJ89F+37V5,1
2064,1066,938,1058,2065,POINT (35.323142622322855 -15.382324269971246),745,4092894,-15.38227214,35.32318071,307.4213,0.8014,5GPQJ89F+37V5,1
2065,1057,934,1207,2066,POINT (35.32323572971256 -15.382323297834514),745,4092894,-15.38227214,35.32318071,307.4213,0.8014,5GPQJ89F+37V5,1
1866,1156,1079,1340,1867,POINT (35.32332783506136 -15.382231991189396),1494,8163644,-15.3822342,35.32333251,9.7882,0.6063,5GPQJ89F+484P,1
